id,original_name,generated_name,authors,year,name,journal
163,Decision-Making Quality,Decision Making Quality,"Tongxiao (Catherine) Zhang, Ritu Agarwal, and Henry C. Lucas, Jr.",2011,The Value of IT-Enabled Retailer Learning: Personalized Product Recommendations and Customer Store Loyalty in Electronic Markets,MIS Quarterly
164,Repurchase Intention,Repurchase Intention,"Tongxiao (Catherine) Zhang, Ritu Agarwal, and Henry C. Lucas, Jr.",2011,The Value of IT-Enabled Retailer Learning: Personalized Product Recommendations and Customer Store Loyalty in Electronic Markets,MIS Quarterly
165,Website Usability,Website Usability,"Tongxiao (Catherine) Zhang, Ritu Agarwal, and Henry C. Lucas, Jr.",2011,The Value of IT-Enabled Retailer Learning: Personalized Product Recommendations and Customer Store Loyalty in Electronic Markets,MIS Quarterly
166,Quality of Product Information,Quality of Product Information,"Tongxiao (Catherine) Zhang, Ritu Agarwal, and Henry C. Lucas, Jr.",2011,The Value of IT-Enabled Retailer Learning: Personalized Product Recommendations and Customer Store Loyalty in Electronic Markets,MIS Quarterly
167,Product Selection,Product Selection,"Tongxiao (Catherine) Zhang, Ritu Agarwal, and Henry C. Lucas, Jr.",2011,The Value of IT-Enabled Retailer Learning: Personalized Product Recommendations and Customer Store Loyalty in Electronic Markets,MIS Quarterly
168,Decision-Making Involvement,Decision Making Involvement,"Tongxiao (Catherine) Zhang, Ritu Agarwal, and Henry C. Lucas, Jr.",2011,The Value of IT-Enabled Retailer Learning: Personalized Product Recommendations and Customer Store Loyalty in Electronic Markets,MIS Quarterly
169,Price Perception,Price Perception,"Tongxiao (Catherine) Zhang, Ritu Agarwal, and Henry C. Lucas, Jr.",2011,The Value of IT-Enabled Retailer Learning: Personalized Product Recommendations and Customer Store Loyalty in Electronic Markets,MIS Quarterly
170,Product Screening Cost,Product Screening Cost,"Tongxiao (Catherine) Zhang, Ritu Agarwal, and Henry C. Lucas, Jr.",2011,The Value of IT-Enabled Retailer Learning: Personalized Product Recommendations and Customer Store Loyalty in Electronic Markets,MIS Quarterly
171,Incumbent System Habit,Incumbent System Habit,Greta L. Polites and Elena Karahanna,2012,"Shackled to the Status Quo: The Inhibiting Effects of Incumbent System Habit, Switching Costs, and Inertia on New System Acceptance",MIS Quarterly
172,Sunk Costs,Sunk Costs,Greta L. Polites and Elena Karahanna,2012,"Shackled to the Status Quo: The Inhibiting Effects of Incumbent System Habit, Switching Costs, and Inertia on New System Acceptance",MIS Quarterly
173,Transition Costs,Transition Costs,Greta L. Polites and Elena Karahanna,2012,"Shackled to the Status Quo: The Inhibiting Effects of Incumbent System Habit, Switching Costs, and Inertia on New System Acceptance",MIS Quarterly
174,Inertia,Inertia,Greta L. Polites and Elena Karahanna,2012,"Shackled to the Status Quo: The Inhibiting Effects of Incumbent System Habit, Switching Costs, and Inertia on New System Acceptance",MIS Quarterly
175,PEOU,Perceived Ease of Use,Greta L. Polites and Elena Karahanna,2012,"Shackled to the Status Quo: The Inhibiting Effects of Incumbent System Habit, Switching Costs, and Inertia on New System Acceptance",MIS Quarterly
176,Relative Advantage,Relative Advantage,Greta L. Polites and Elena Karahanna,2012,"Shackled to the Status Quo: The Inhibiting Effects of Incumbent System Habit, Switching Costs, and Inertia on New System Acceptance",MIS Quarterly
177,Subjective Norm,Subjective Norm,Greta L. Polites and Elena Karahanna,2012,"Shackled to the Status Quo: The Inhibiting Effects of Incumbent System Habit, Switching Costs, and Inertia on New System Acceptance",MIS Quarterly
178,Intention to Use New System,Intention to Use a New System,Greta L. Polites and Elena Karahanna,2012,"Shackled to the Status Quo: The Inhibiting Effects of Incumbent System Habit, Switching Costs, and Inertia on New System Acceptance",MIS Quarterly
179,Propensity to Resist Change,Propensity to Resist Change,Greta L. Polites and Elena Karahanna,2012,"Shackled to the Status Quo: The Inhibiting Effects of Incumbent System Habit, Switching Costs, and Inertia on New System Acceptance",MIS Quarterly
180,GD Experience,Google Docs Experience,Greta L. Polites and Elena Karahanna,2012,"Shackled to the Status Quo: The Inhibiting Effects of Incumbent System Habit, Switching Costs, and Inertia on New System Acceptance",MIS Quarterly
181,Self-Efficacy,Self Efficacy,Greta L. Polites and Elena Karahanna,2012,"Shackled to the Status Quo: The Inhibiting Effects of Incumbent System Habit, Switching Costs, and Inertia on New System Acceptance",MIS Quarterly
191,Novel Situations,Novel Situations,Heshan Sun,2012,Understanding User Revisions When Using Information Systems Features: Adaptive System Use and Triggers,MIS Quarterly
192,Discrepancies,Discrepancies,Heshan Sun,2012,Understanding User Revisions When Using Information Systems Features: Adaptive System Use and Triggers,MIS Quarterly
193,Deliberate Initiatives,Deliberate Initiatives,Heshan Sun,2012,Understanding User Revisions When Using Information Systems Features: Adaptive System Use and Triggers,MIS Quarterly
194,Facilitating Conditions,Facilitating Conditions,Heshan Sun,2012,Understanding User Revisions When Using Information Systems Features: Adaptive System Use and Triggers,MIS Quarterly
195,Personal Innovativeness in IT,Personal Innovativeness in Information Technology,Heshan Sun,2012,Understanding User Revisions When Using Information Systems Features: Adaptive System Use and Triggers,MIS Quarterly
196,Adaptive System Use,Adaptive System Use,Heshan Sun,2012,Understanding User Revisions When Using Information Systems Features: Adaptive System Use and Triggers,MIS Quarterly
197,Environmental,Environmental Benefits,"Kent Marett, Robert F. Otondo, and G. Stephen Taylor",2013,Assessing the Effects of Benefits and Institutional Influences on the Continued Use of Environmentally Munificent Bypass Systems in Long-Haul Trucking,MIS Quarterly
198,Financial,Financial Benefits,"Kent Marett, Robert F. Otondo, and G. Stephen Taylor",2013,Assessing the Effects of Benefits and Institutional Influences on the Continued Use of Environmentally Munificent Bypass Systems in Long-Haul Trucking,MIS Quarterly
199,Accessibility,Accessibility,"Kent Marett, Robert F. Otondo, and G. Stephen Taylor",2013,Assessing the Effects of Benefits and Institutional Influences on the Continued Use of Environmentally Munificent Bypass Systems in Long-Haul Trucking,MIS Quarterly
200,Competitive Pressure,Perceived Competitive Pressure,"Kent Marett, Robert F. Otondo, and G. Stephen Taylor",2013,Assessing the Effects of Benefits and Institutional Influences on the Continued Use of Environmentally Munificent Bypass Systems in Long-Haul Trucking,MIS Quarterly
201,Participation Among Other Drivers,Participation Among Other Drivers,"Kent Marett, Robert F. Otondo, and G. Stephen Taylor",2013,Assessing the Effects of Benefits and Institutional Influences on the Continued Use of Environmentally Munificent Bypass Systems in Long-Haul Trucking,MIS Quarterly
202,Organizational Pressure,Organizational Pressure,"Kent Marett, Robert F. Otondo, and G. Stephen Taylor",2013,Assessing the Effects of Benefits and Institutional Influences on the Continued Use of Environmentally Munificent Bypass Systems in Long-Haul Trucking,MIS Quarterly
203,Industry Pressure,Industry Pressure,"Kent Marett, Robert F. Otondo, and G. Stephen Taylor",2013,Assessing the Effects of Benefits and Institutional Influences on the Continued Use of Environmentally Munificent Bypass Systems in Long-Haul Trucking,MIS Quarterly
204,Intentions to Continue Use,Intentions to Continue Use,"Kent Marett, Robert F. Otondo, and G. Stephen Taylor",2013,Assessing the Effects of Benefits and Institutional Influences on the Continued Use of Environmentally Munificent Bypass Systems in Long-Haul Trucking,MIS Quarterly
205,Satisfaction with vendor,Satisfaction with Vendor,"Yulin Fang, Israr Qureshi, Heshan Sun, Patrick McCole, Elaine Ramsey, and Kai H. Lim",2014,"Trust, Satisfaction, and Online Repurchase Intention: The Moderating Role of Perceived Effectiveness of E-Commerce Institutional Mechanisms",MIS Quarterly
206,Trust in vendor,Trust in Vendor,"Yulin Fang, Israr Qureshi, Heshan Sun, Patrick McCole, Elaine Ramsey, and Kai H. Lim",2014,"Trust, Satisfaction, and Online Repurchase Intention: The Moderating Role of Perceived Effectiveness of E-Commerce Institutional Mechanisms",MIS Quarterly
207,Perceived effectiveness of institutional mechanisms,Perceived Effectiveness of Institutional Mechanisms,"Yulin Fang, Israr Qureshi, Heshan Sun, Patrick McCole, Elaine Ramsey, and Kai H. Lim",2014,"Trust, Satisfaction, and Online Repurchase Intention: The Moderating Role of Perceived Effectiveness of E-Commerce Institutional Mechanisms",MIS Quarterly
208,Repurchasing Intention,Repurchase Intention,"Yulin Fang, Israr Qureshi, Heshan Sun, Patrick McCole, Elaine Ramsey, and Kai H. Lim",2014,"Trust, Satisfaction, and Online Repurchase Intention: The Moderating Role of Perceived Effectiveness of E-Commerce Institutional Mechanisms",MIS Quarterly
209,Website Quality,Perceived Website Quality,"Yulin Fang, Israr Qureshi, Heshan Sun, Patrick McCole, Elaine Ramsey, and Kai H. Lim",2014,"Trust, Satisfaction, and Online Repurchase Intention: The Moderating Role of Perceived Effectiveness of E-Commerce Institutional Mechanisms",MIS Quarterly
210,Reputation,Vendor Reputation,"Yulin Fang, Israr Qureshi, Heshan Sun, Patrick McCole, Elaine Ramsey, and Kai H. Lim",2014,"Trust, Satisfaction, and Online Repurchase Intention: The Moderating Role of Perceived Effectiveness of E-Commerce Institutional Mechanisms",MIS Quarterly
211,Familiarity with vendor,Familiarity with Vendor,"Yulin Fang, Israr Qureshi, Heshan Sun, Patrick McCole, Elaine Ramsey, and Kai H. Lim",2014,"Trust, Satisfaction, and Online Repurchase Intention: The Moderating Role of Perceived Effectiveness of E-Commerce Institutional Mechanisms",MIS Quarterly
212,Satisfaction (Internet),Satisfaction with the Internet,"Yulin Fang, Israr Qureshi, Heshan Sun, Patrick McCole, Elaine Ramsey, and Kai H. Lim",2014,"Trust, Satisfaction, and Online Repurchase Intention: The Moderating Role of Perceived Effectiveness of E-Commerce Institutional Mechanisms",MIS Quarterly
213,Gender,Gender,"Yulin Fang, Israr Qureshi, Heshan Sun, Patrick McCole, Elaine Ramsey, and Kai H. Lim",2014,"Trust, Satisfaction, and Online Repurchase Intention: The Moderating Role of Perceived Effectiveness of E-Commerce Institutional Mechanisms",MIS Quarterly
214,Income,Income,"Yulin Fang, Israr Qureshi, Heshan Sun, Patrick McCole, Elaine Ramsey, and Kai H. Lim",2014,"Trust, Satisfaction, and Online Repurchase Intention: The Moderating Role of Perceived Effectiveness of E-Commerce Institutional Mechanisms",MIS Quarterly
215,Education,Education,"Yulin Fang, Israr Qureshi, Heshan Sun, Patrick McCole, Elaine Ramsey, and Kai H. Lim",2014,"Trust, Satisfaction, and Online Repurchase Intention: The Moderating Role of Perceived Effectiveness of E-Commerce Institutional Mechanisms",MIS Quarterly
216,Expertise,Expertise,"Yulin Fang, Israr Qureshi, Heshan Sun, Patrick McCole, Elaine Ramsey, and Kai H. Lim",2014,"Trust, Satisfaction, and Online Repurchase Intention: The Moderating Role of Perceived Effectiveness of E-Commerce Institutional Mechanisms",MIS Quarterly
217,Product characteristics,Product Characteristics,"Yulin Fang, Israr Qureshi, Heshan Sun, Patrick McCole, Elaine Ramsey, and Kai H. Lim",2014,"Trust, Satisfaction, and Online Repurchase Intention: The Moderating Role of Perceived Effectiveness of E-Commerce Institutional Mechanisms",MIS Quarterly
218,Performance,Performance,"Kurt W. Schmitz, James T. C. Teng, and Kimberly J. Webb",2016,Capturing the Complexity of Malleable IT Use: Adaptive Structuration Theory for Individuals,MIS Quarterly
219,Exploitive Technology Adaptation,Exploitive Technology Adaptation,"Kurt W. Schmitz, James T. C. Teng, and Kimberly J. Webb",2016,Capturing the Complexity of Malleable IT Use: Adaptive Structuration Theory for Individuals,MIS Quarterly
220,Exploratory Technology Adaptation,Exploratory Technology Adaptation,"Kurt W. Schmitz, James T. C. Teng, and Kimberly J. Webb",2016,Capturing the Complexity of Malleable IT Use: Adaptive Structuration Theory for Individuals,MIS Quarterly
221,Exploratory Task Adaptation,Exploratory Task Adaptation,"Kurt W. Schmitz, James T. C. Teng, and Kimberly J. Webb",2016,Capturing the Complexity of Malleable IT Use: Adaptive Structuration Theory for Individuals,MIS Quarterly
222,Exploitive Task Adaptation,Exploitive Task Adaptation,"Kurt W. Schmitz, James T. C. Teng, and Kimberly J. Webb",2016,Capturing the Complexity of Malleable IT Use: Adaptive Structuration Theory for Individuals,MIS Quarterly
223,Personal Innovativeness with Mobile Phone IT,Personal Innovativeness with Information Technology,"Kurt W. Schmitz, James T. C. Teng, and Kimberly J. Webb",2016,Capturing the Complexity of Malleable IT Use: Adaptive Structuration Theory for Individuals,MIS Quarterly
224,Computer Self Efficacy,Computer Self Efficacy,"Kurt W. Schmitz, James T. C. Teng, and Kimberly J. Webb",2016,Capturing the Complexity of Malleable IT Use: Adaptive Structuration Theory for Individuals,MIS Quarterly
225,Experience with Technology,Experience with Technology,"Kurt W. Schmitz, James T. C. Teng, and Kimberly J. Webb",2016,Capturing the Complexity of Malleable IT Use: Adaptive Structuration Theory for Individuals,MIS Quarterly
255,ABDSS Use,Attribute-Based Decision Support System Use,"Arnold Kamis, Marios Koufaris, and Tziporah Stern",2008,Using an Attribute-Based Decision Support System for User-Customized Products Online: An Experimental Investigation,MIS Quarterly
256,Choice Set Size,Choice Set Size,"Arnold Kamis, Marios Koufaris, and Tziporah Stern",2008,Using an Attribute-Based Decision Support System for User-Customized Products Online: An Experimental Investigation,MIS Quarterly
257,Perceived Usefulness,Perceived Usefulness,"Arnold Kamis, Marios Koufaris, and Tziporah Stern",2008,Using an Attribute-Based Decision Support System for User-Customized Products Online: An Experimental Investigation,MIS Quarterly
258,Perceived Ease of Use,Perceived Ease of Use,"Arnold Kamis, Marios Koufaris, and Tziporah Stern",2008,Using an Attribute-Based Decision Support System for User-Customized Products Online: An Experimental Investigation,MIS Quarterly
